K,Trajectory,Method,Metric,Value
190,0,ANI-2,Approximate Entropy,0.038177
190,0,ANI-2,Lyapunov Exponent,0.264589
190,0,ANI-4,Correlation Dimension,2.640634
190,0,ANI-4,Approximate Entropy,0.040313
190,0,ANI-4,Lyapunov Exponent,0.285707
200,0,Reference,Correlation Dimension,2.557083
200,0,Reference,Approximate Entropy,0.040037
200,0,Reference,Lyapunov Exponent,0.223178
200,0,Baseline,Correlation Dimension,2.475669
200,0,Baseline,Approximate Entropy,0.035889
200,0,Baseline,Lyapunov Exponent,0.248581
200,0,ANI-2,Correlation Dimension,2.563481
200,0,ANI-2,Approximate Entropy,0.035135
200,0,ANI-2,Lyapunov Exponent,0.227696
200,0,ANI-4,Correlation Dimension,2.557083
200,0,ANI-4,Approximate Entropy,0.041451
200,0,ANI-4,Lyapunov Exponent,0.246584
210,0,Reference,Correlation Dimension,2.578168
210,0,Reference,Approximate Entropy,0.037503
210,0,Reference,Lyapunov Exponent,0.148389
210,0,Baseline,Correlation Dimension,2.504175
210,0,Baseline,Approximate Entropy,0.037554
210,0,Baseline,Lyapunov Exponent,0.055783
210,0,ANI-2,Correlation Dimension,2.588459
210,0,ANI-2,Approximate Entropy,0.034539
210,0,ANI-2,Lyapunov Exponent,0.100101
210,0,ANI-4,Correlation Dimension,2.578168
210,0,ANI-4,Approximate Entropy,0.039197
210,0,ANI-4,Lyapunov Exponent,0.160969
220,0,Reference,Correlation Dimension,2.592531
220,0,Reference,Approximate Entropy,0.035384
220,0,Reference,Lyapunov Exponent,0.358257
220,0,Baseline,Correlation Dimension,2.444497
220,0,Baseline,Approximate Entropy,0.038537
220,0,Baseline,Lyapunov Exponent,0.318816
220,0,ANI-2,Correlation Dimension,2.512095
220,0,ANI-2,Approximate Entropy,0.039704
220,0,ANI-2,Lyapunov Exponent,0.353361
220,0,ANI-4,Correlation Dimension,2.492110
220,0,ANI-4,Approximate Entropy,0.037007
220,0,ANI-4,Lyapunov Exponent,0.346022
230,0,Reference,Correlation Dimension,2.430985
230,0,Reference,Approximate Entropy,0.043187
230,0,Reference,Lyapunov Exponent,0.262404
230,0,Baseline,Correlation Dimension,2.246525
230,0,Baseline,Approximate Entropy,0.042703
230,0,Baseline,Lyapunov Exponent,0.283456
230,0,ANI-2,Correlation Dimension,2.436810
230,0,ANI-2,Approximate Entropy,0.044175
230,0,ANI-2,Lyapunov Exponent,0.260442
230,0,ANI-4,Correlation Dimension,2.417187
230,0,ANI-4,Approximate Entropy,0.041384
230,0,ANI-4,Lyapunov Exponent,0.272702
240,0,Reference,Correlation Dimension,2.442583
240,0,Reference,Approximate Entropy,0.041588
240,0,Reference,Lyapunov Exponent,0.398339
240,0,Baseline,Correlation Dimension,2.261416
240,0,Baseline,Approximate Entropy,0.038792
240,0,Baseline,Lyapunov Exponent,0.369232
240,0,ANI-2,Correlation Dimension,2.308614
